Timestamp,Total_Drivers,Window_Size,Average_Speed_KPH,Utilization_Ratio_%,Classical_Batches,Classical_Time_s,Quantum_Batches,Quantum_Time_s,Avg_Quantum_Time_s,NN_Batches,NN_Time_s,Total_Batches,Avg_Batch_Size,Peak_RAM_GB,Total_Energy_J,Total_Distance_km,Total_Orders,Total_Delivered,Avg_Delivery_Time_Min,Median_Delivery_Time_Min,Max_Delivery_Time_Min,Std_Delivery_Time_Min,Quantum_Orders,Classical_Orders,NN_Orders,Quantum_Optimal_Hits,MultiHop_Success,MultiHop_Failed,SingleHop_Success,SingleHop_Failed,Max_Driver_Batches,Max_Driver_Active_Hours,Brute_Force_Timeouts,Wall_Clock_s,City,Demand_Pattern,Seed,Experiment_Label
2026-04-04 12:20:32,5,0.1,35.0,100.0,0,0.0,1675,293.4678,0.1752,0,0.0,1675,1.19,1.16,4402.0169,41987.1574,2000,2000,10836.55,10943.12,21581.37,6259.32,2000,0,0,1549,607,0,1393,0,340,372.0215,0,296.9059,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d5_w0.1_spd35.0
2026-04-04 12:27:59,5,0.1,35.0,100.0,5,0.0027,1564,740.6967,0.4736,0,0.0,1569,1.27,1.09,11110.7514,39778.9787,2000,2000,10156.71,10054.01,20497.0,5867.47,1974,26,0,1405,752,0,1248,0,328,353.7761,0,744.0647,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d5_w0.1_spd35.0
2026-04-04 12:33:53,5,0.1,35.0,100.0,5,0.0017,1496,1094.0734,0.7313,0,0.0,1501,1.33,1.21,16411.2856,38776.4984,2000,2000,10033.5,10051.79,20033.82,5669.59,1975,25,0,1322,861,0,1139,0,308,346.2132,0,1097.8202,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d5_w0.1_spd35.0
2026-04-04 12:42:06,5,0.25,35.0,100.0,14,0.0069,1327,1587.5729,1.1964,0,0.0,1341,1.49,1.17,23814.3628,35823.0366,2000,2000,9128.81,9162.97,18296.44,5315.39,1929,71,0,1104,1107,0,893,0,275,317.1226,0,1591.1111,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d5_w0.25_spd35.0
2026-04-04 13:01:02,5,0.25,35.0,100.0,30,0.0168,1195,2186.9972,1.8301,5,0.0007,1230,1.63,1.07,32806.9021,33277.4283,2000,2000,8480.8,8468.35,17083.11,4834.97,1804,159,37,993,1206,0,794,0,251,296.6569,0,2190.9341,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d5_w0.25_spd35.0
2026-04-04 13:03:01,5,0.25,35.0,100.0,40,0.5851,1066,2545.3177,2.3877,12,0.002,1118,1.79,1.03,38244.9241,31111.5046,2000,2000,8025.94,8055.6,15982.6,4403.12,1682,220,98,875,1322,0,678,0,231,278.7429,0,2549.7665,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d5_w0.25_spd35.0
2026-04-04 13:19:19,5,0.5,35.0,100.0,49,0.0301,949,2721.4567,2.8677,4,0.0008,1002,2.0,1.03,40825.2862,29343.2769,2000,2000,7385.76,7332.46,14937.88,4305.62,1690,277,33,703,1527,0,473,0,207,260.4942,0,2725.9703,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d5_w0.5_spd35.0
2026-04-04 13:30:24,5,0.5,35.0,100.0,52,0.0675,708,2894.0686,4.0877,46,0.0082,806,2.48,1.05,43419.4285,24458.6054,2000,2000,6343.0,6329.58,12535.32,3338.25,1287,287,426,549,1623,0,377,0,165,221.0382,0,2897.6797,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d5_w0.5_spd35.0
2026-04-04 13:48:45,5,0.5,35.0,100.0,44,0.0415,824,3051.9333,3.7038,31,0.0063,899,2.22,1.03,45784.2965,26607.6238,2000,2000,6754.88,6759.24,13563.69,3746.47,1481,251,268,618,1560,0,440,0,184,237.7499,0,3056.2948,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d5_w0.5_spd35.0
2026-04-04 13:54:32,10,0.1,35.0,100.0,0,0.0,1675,341.9381,0.2041,0,0.0,1675,1.19,0.73,5129.0718,41987.1574,2000,2000,5272.57,5318.63,10545.45,3063.75,2000,0,0,1549,607,0,1393,0,173,188.0896,0,346.4688,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d10_w0.1_spd35.0
2026-04-04 13:56:21,5,1.0,35.0,100.0,71,0.0629,544,3194.7575,5.8727,48,0.0158,663,3.02,1.06,47930.1041,22034.6438,2000,2000,5514.99,5449.64,11168.29,3198.07,1164,403,433,359,1794,0,206,0,137,197.1724,0,3199.7019,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d5_w1_spd35.0
2026-04-04 13:58:06,5,1.0,35.0,100.0,66,0.1298,391,2323.1762,5.9416,75,0.0104,532,3.76,1.09,34863.2144,18153.0549,2000,2000,4687.51,4678.29,9281.55,2407.07,774,386,840,276,1810,0,190,0,112,166.2443,0,2327.2094,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d5_w1_spd35.0
2026-04-04 14:09:43,10,0.1,35.0,100.0,5,0.0021,1564,797.4265,0.5099,0,0.0,1569,1.27,0.9,11961.6313,39778.9787,2000,2000,4904.2,4871.79,9846.78,2843.7,1974,26,0,1405,752,0,1248,0,161,176.0443,0,801.6298,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d10_w0.1_spd35.0
2026-04-04 14:10:53,5,1.0,35.0,100.0,67,0.146,457,2425.2558,5.3069,62,0.0319,586,3.41,1.1,36398.5915,19914.2178,2000,2000,5011.77,4970.4,10116.08,2717.55,959,384,657,316,1817,0,183,0,123,179.1785,0,2429.0753,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d5_w1_spd35.0
2026-04-04 14:15:39,10,0.1,35.0,100.0,5,0.0058,1496,1263.0386,0.8443,0,0.0,1501,1.33,1.03,18946.2282,38776.4079,2000,2000,4814.82,4834.8,9586.18,2751.22,1975,25,0,1322,861,0,1139,0,156,172.2859,0,1267.2173,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d10_w0.1_spd35.0
2026-04-04 14:26:06,10,0.25,35.0,100.0,14,0.0037,1327,1675.9348,1.263,0,0.0,1341,1.49,1.03,25139.4292,35823.4202,2000,2000,4361.69,4375.66,8749.03,2531.12,1929,71,0,1104,1107,0,893,0,140,157.9992,0,1680.1355,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d10_w0.25_spd35.0
2026-04-04 14:46:07,10,0.25,35.0,100.0,30,0.0397,1195,2109.8775,1.7656,5,0.0006,1230,1.63,1.06,31652.6355,33277.6457,2000,2000,4036.64,4020.79,8125.34,2329.0,1804,159,37,993,1206,0,794,0,128,147.3746,0,2114.1732,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d10_w0.25_spd35.0
2026-04-04 14:50:12,10,0.25,35.0,100.0,40,0.0794,1066,2633.0415,2.47,12,0.0016,1118,1.79,1.06,39504.6146,31111.5046,2000,2000,3822.33,3833.03,7606.15,2117.55,1682,220,98,875,1322,0,678,0,119,138.9195,0,2637.3764,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d10_w0.25_spd35.0
2026-04-04 14:59:56,10,0.5,35.0,100.0,49,0.032,949,2653.5526,2.7962,4,0.0005,1002,2.0,1.06,39806.8993,29343.2602,2000,2000,3493.15,3471.53,7105.92,2021.19,1690,277,33,703,1527,0,473,0,107,129.9614,0,2657.4392,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d10_w0.5_spd35.0
2026-04-04 15:14:01,10,0.5,35.0,100.0,52,0.0956,708,2871.0133,4.0551,46,0.0069,806,2.48,1.06,43076.5767,24459.3791,2000,2000,2986.69,2981.81,5905.09,1601.77,1287,287,426,549,1623,0,377,0,85,110.4333,0,2875.5644,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d10_w0.5_spd35.0
2026-04-04 15:34:16,10,0.5,35.0,100.0,44,0.0278,824,2942.0083,3.5704,31,0.0077,899,2.22,1.07,44134.0732,26607.6238,2000,2000,3192.32,3170.11,6405.34,1784.19,1481,251,268,618,1560,0,440,0,98,118.1995,0,2946.5848,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d10_w0.5_spd35.0
2026-04-04 15:37:38,10,1.0,35.0,100.0,66,0.0498,391,2253.6761,5.7639,75,3.4873,532,3.76,1.09,34197.7582,18152.8221,2000,2000,2194.36,2180.32,4365.12,1143.64,774,386,840,276,1810,0,190,0,57,83.7425,0,2261.3243,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d10_w1_spd35.0
2026-04-04 15:40:39,15,0.1,35.0,100.0,0,0.0,1675,379.8852,0.2268,0,0.0,1675,1.19,1.01,5698.278,41987.1574,2000,2000,3308.23,3320.62,6617.66,1916.97,2000,0,0,1549,607,0,1393,0,116,122.5263,0,383.3673,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d15_w0.1_spd35.0
2026-04-04 15:42:43,10,1.0,35.0,100.0,71,0.5247,544,3146.3463,5.7837,48,0.0065,663,3.02,1.08,47254.1579,22034.8174,2000,2000,2598.73,2569.84,5270.9,1492.45,1164,403,433,359,1794,0,206,0,70,98.8824,0,3151.1572,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d10_w1_spd35.0
2026-04-04 15:56:26,10,1.0,35.0,100.0,67,0.7579,457,2413.7427,5.2817,62,1.0239,586,3.41,1.07,36403.9214,19914.2178,2000,2000,2346.73,2324.35,4752.83,1276.64,959,384,657,316,1817,0,183,0,63,89.791,0,2419.4013,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d10_w1_spd35.0
2026-04-04 15:57:15,15,0.1,35.0,100.0,5,0.0034,1564,948.2914,0.6063,0,0.0,1569,1.27,0.9,14224.7524,39778.9787,2000,2000,3141.3,3099.23,6322.47,1845.03,1974,26,0,1404,752,0,1248,0,112,117.3511,0,951.9498,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d15_w0.1_spd35.0
2026-04-04 15:58:18,15,0.1,35.0,100.0,5,0.0014,1496,1235.8279,0.8261,0,0.0,1501,1.33,1.12,18537.5763,38776.4984,2000,2000,3095.55,3111.03,6159.65,1787.16,1975,25,0,1322,861,0,1139,0,107,114.8362,0,1239.9655,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d15_w0.1_spd35.0
2026-04-04 16:09:40,15,0.25,35.0,100.0,14,0.0034,1327,1569.9692,1.1831,0,0.0,1341,1.49,1.02,23549.9173,35823.4202,2000,2000,2794.83,2798.93,5609.69,1619.07,1929,71,0,1104,1107,0,893,0,95,105.705,0,1573.7936,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d15_w0.25_spd35.0
2026-04-04 16:34:23,15,0.25,35.0,100.0,30,0.2062,1195,2223.3934,1.8606,5,0.0008,1230,1.63,1.06,33373.8773,33277.2524,2000,2000,2591.19,2586.43,5204.6,1489.01,1804,159,37,993,1206,0,794,0,87,98.1806,0,2227.6919,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d15_w0.25_spd35.0
2026-04-04 16:38:48,15,0.25,35.0,100.0,40,0.0599,1066,2632.2579,2.4693,12,0.002,1118,1.79,1.03,39490.7324,31111.4054,2000,2000,2458.04,2460.59,4868.67,1373.33,1682,220,98,875,1322,0,678,0,81,93.1221,0,2636.3238,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d15_w0.25_spd35.0
2026-04-04 16:42:44,15,0.5,35.0,100.0,49,7.6995,949,2515.1816,2.6503,4,0.0007,1002,2.0,1.06,38582.4427,29343.2769,2000,2000,2217.5,2211.51,4520.33,1279.65,1690,277,33,703,1527,0,473,0,72,86.8683,0,2526.772,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d15_w0.5_spd35.0
2026-04-04 17:00:42,15,0.5,35.0,100.0,52,0.4226,708,2958.625,4.1788,46,0.006,806,2.48,1.05,44426.9497,24458.6054,2000,2000,1895.14,1880.74,3759.62,1025.01,1287,287,426,549,1623,0,377,0,62,73.9516,0,2963.1139,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d15_w0.5_spd35.0
2026-04-04 17:19:48,15,1.0,35.0,100.0,66,0.0991,391,2220.1743,5.6782,75,0.0118,532,3.76,1.05,33314.915,18153.1541,2000,2000,1369.96,1363.51,2719.36,719.45,774,386,840,276,1810,0,190,0,39,55.9272,0,2223.8932,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d15_w1_spd35.0
2026-04-04 17:19:49,15,0.5,35.0,100.0,44,0.3423,824,2876.6274,3.4911,31,0.5104,899,2.22,1.03,43244.0644,26607.6238,2000,2000,2031.44,2017.31,4049.17,1133.6,1481,251,268,618,1560,0,440,0,67,78.5367,0,2881.1982,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d15_w0.5_spd35.0
2026-04-04 17:25:39,20,0.1,35.0,100.0,0,0.0,1675,347.1242,0.2072,0,0.0,1675,1.19,0.69,5206.8631,41987.1574,2000,2000,2348.58,2358.65,4688.98,1359.73,2000,0,0,1549,607,0,1393,0,88,90.4816,0,350.6766,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d20_w0.1_spd35.0
2026-04-04 17:27:37,15,1.0,35.0,100.0,71,0.7132,544,3190.0752,5.8641,48,0.0059,663,3.02,1.06,47930.9484,22034.2181,2000,2000,1623.79,1602.75,3311.76,922.76,1164,403,433,359,1794,0,206,0,48,66.2302,0,3194.3578,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d15_w1_spd35.0
2026-04-04 17:39:41,20,0.1,35.0,100.0,5,1.2986,1496,1123.0714,0.7507,0,0.0,1501,1.33,1.06,16990.2116,38776.4984,2000,2000,2261.04,2272.81,4485.93,1318.81,1975,25,0,1322,861,0,1139,0,80,86.6477,0,1128.116,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d20_w0.1_spd35.0
2026-04-04 17:42:10,15,1.0,35.0,100.0,67,0.0612,457,2402.531,5.2572,62,4.633,586,3.41,1.03,36559.0135,19914.2178,2000,2000,1474.24,1464.05,2979.93,805.54,959,384,657,316,1817,0,183,0,45,60.2425,0,2410.5414,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d15_w1_spd35.0
2026-04-04 17:43:14,20,0.1,35.0,100.0,5,0.0031,1564,968.1341,0.619,0,0.0,1569,1.27,1.08,14522.354,39778.8707,2000,2000,2266.44,2238.44,4558.0,1331.34,1974,26,0,1405,752,0,1248,0,85,87.9433,0,972.1236,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d20_w0.1_spd35.0
2026-04-04 17:55:51,20,0.25,35.0,100.0,14,0.0038,1327,1588.1485,1.1968,0,0.0,1341,1.49,1.05,23822.6474,35823.4202,2000,2000,2004.25,2005.3,4042.75,1165.1,1929,71,0,1104,1107,0,893,0,75,79.6236,0,1592.3874,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d20_w0.25_spd35.0
2026-04-04 18:19:21,20,0.25,35.0,100.0,30,0.0561,1195,2226.6464,1.8633,5,0.0055,1230,1.63,1.09,33406.5312,33277.3622,2000,2000,1869.64,1863.82,3769.54,1079.65,1804,159,37,993,1206,0,794,0,66,74.2555,0,2231.0836,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d20_w0.25_spd35.0
2026-04-04 18:24:16,20,0.25,35.0,100.0,40,0.0284,1066,2670.6353,2.5053,12,0.0016,1118,1.79,1.05,40062.8645,31111.5046,2000,2000,1770.41,1776.29,3509.4,994.91,1682,220,98,875,1322,0,678,0,62,69.5313,0,2675.0018,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d20_w0.25_spd35.0
2026-04-04 18:30:59,20,0.5,35.0,100.0,49,0.0385,949,2693.9977,2.8388,4,0.0005,1002,2.0,1.13,40414.3022,29343.2769,2000,2000,1563.44,1555.64,3211.73,897.23,1690,277,33,702,1527,0,473,0,57,65.0584,0,2698.6814,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d20_w0.5_spd35.0
2026-04-04 18:52:04,20,0.5,35.0,100.0,52,0.0448,708,2859.6416,4.039,46,0.007,806,2.48,1.09,42900.3836,24458.9375,2000,2000,1363.38,1351.58,2694.37,740.32,1287,287,426,549,1623,0,377,0,43,55.185,0,2863.7228,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d20_w0.5_spd35.0
2026-04-04 19:05:53,20,0.5,35.0,100.0,44,0.0292,824,2945.1214,3.5742,31,0.0049,899,2.22,1.09,44180.6112,26607.6238,2000,2000,1454.78,1450.9,2901.91,811.66,1481,251,268,618,1560,0,440,0,49,59.3262,0,2949.7836,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d20_w0.5_spd35.0
2026-04-04 19:10:30,20,1.0,35.0,100.0,66,0.0792,391,2368.1004,6.0565,75,0.0252,532,3.76,1.07,35533.0931,18152.0483,2000,2000,966.07,960.95,1932.0,509.55,774,386,840,276,1810,0,190,0,33,42.2888,0,2371.5022,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d20_w1_spd35.0
2026-04-04 19:11:26,20,1.0,35.0,100.0,71,0.2357,544,3119.8865,5.7351,48,0.0093,663,3.02,1.09,46825.4858,22034.8174,2000,2000,1131.29,1122.49,2314.87,633.63,1164,403,433,359,1794,0,206,0,37,49.6153,0,3124.6936,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d20_w1_spd35.0
2026-04-04 19:14:07,30,0.1,35.0,100.0,0,0.0015,1675,490.2791,0.2927,0,0.0,1675,1.19,0.64,7354.35,41986.813,2000,2000,1424.66,1427.01,2853.43,825.1,2000,0,0,1549,607,0,1393,0,62,59.7858,0,494.54,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d30_w0.1_spd35.0
2026-04-04 19:28:52,30,0.1,35.0,100.0,5,0.0127,1564,920.2798,0.5884,0,0.0,1569,1.27,0.92,13805.6036,39777.4003,2000,2000,1372.52,1354.7,2752.98,808.88,1974,26,0,1405,752,0,1248,0,56,57.3108,0,923.9783,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d30_w0.1_spd35.0
2026-04-04 19:29:01,30,0.1,35.0,100.0,5,0.0081,1496,1107.3266,0.7402,0,0.0,1501,1.33,1.07,16610.8027,38776.4984,2000,2000,1380.71,1390.44,2730.8,808.91,1975,25,0,1322,861,0,1139,0,55,57.0735,0,1110.7957,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d30_w0.1_spd35.0
2026-04-04 19:33:06,20,1.0,35.0,100.0,67,0.0883,457,2458.0422,5.3786,62,0.0112,586,3.41,1.07,36881.6834,19914.2178,2000,2000,1032.74,1028.78,2082.59,560.03,959,384,657,316,1817,0,183,0,33,45.1913,0,2462.0584,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d20_w1_spd35.0
2026-04-04 19:41:17,30,0.25,35.0,100.0,14,0.0035,1327,1573.5116,1.1858,0,0.0,1341,1.49,1.09,23603.0662,35823.4202,2000,2000,1194.72,1193.3,2414.09,690.82,1929,71,0,1104,1107,0,893,0,49,52.5929,0,1577.1094,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d30_w0.25_spd35.0
2026-04-04 20:04:10,30,0.25,35.0,100.0,30,0.1108,1195,2104.5181,1.7611,5,0.0008,1230,1.63,1.03,31580.1615,33277.6457,2000,2000,1146.54,1135.33,2335.51,668.53,1804,159,37,993,1206,0,794,0,46,49.2365,0,2108.8995,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d30_w0.25_spd35.0
2026-04-04 20:13:34,30,0.25,35.0,100.0,40,0.0884,1066,2872.4071,2.6946,12,0.0236,1118,1.79,1.06,43098.5438,31110.5992,2000,2000,1092.7,1091.62,2197.46,621.98,1682,220,98,875,1322,0,678,0,43,46.6079,0,2877.4861,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d30_w0.25_spd35.0
2026-04-04 20:15:54,30,0.5,35.0,100.0,49,0.0483,949,2562.9999,2.7007,4,0.0008,1002,2.0,1.07,38450.449,29343.2769,2000,2000,934.42,927.79,1952.45,530.95,1690,277,33,703,1527,0,473,0,38,44.0703,0,2568.0982,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d30_w0.5_spd35.0
2026-04-04 20:38:07,30,0.5,35.0,100.0,52,0.0437,708,2985.4521,4.2167,46,0.0372,806,2.48,1.05,44790.7658,24458.5906,2000,2000,832.77,824.3,1680.23,453.38,1287,287,426,549,1623,0,377,0,30,37.5349,0,2989.8267,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d30_w0.5_spd35.0
2026-04-04 20:51:38,30,0.5,35.0,100.0,44,0.0319,824,2844.1168,3.4516,31,0.0041,899,2.22,1.15,42665.7484,26607.6238,2000,2000,873.21,867.4,1754.99,488.51,1481,251,268,618,1560,0,440,0,35,40.0588,0,2848.4566,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d30_w0.5_spd35.0
2026-04-04 20:54:02,30,1.0,35.0,100.0,66,0.0886,391,2283.2985,5.8396,75,0.0288,532,3.76,1.05,34262.5112,18153.1541,2000,2000,582.23,580.72,1166.13,305.73,774,386,840,275,1810,0,190,0,22,28.8655,0,2287.1504,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d30_w1_spd35.0
2026-04-04 20:57:02,40,0.1,35.0,100.0,0,0.0,1675,320.4063,0.1913,0,0.0,1675,1.19,0.99,4806.095,41987.1574,2000,2000,960.79,956.43,1939.55,554.92,2000,0,0,1549,607,0,1393,0,46,44.7431,0,323.6367,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d40_w0.1_spd35.0
2026-04-04 20:58:43,30,1.0,35.0,100.0,71,0.1505,544,3198.2464,5.8791,48,0.0074,663,3.02,1.06,47991.2231,22034.2181,2000,2000,656.99,650.2,1363.5,355.08,1164,403,433,359,1794,0,206,0,27,33.7592,0,3202.887,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d30_w1_spd35.0
2026-04-04 21:11:19,40,0.1,35.0,100.0,5,0.0027,1564,774.3663,0.4951,0,0.0,1569,1.27,1.15,11615.7965,39778.9787,2000,2000,942.82,927.86,1909.38,559.95,1974,26,0,1405,752,0,1248,0,46,43.0448,0,778.2874,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d40_w0.1_spd35.0
2026-04-04 21:31:44,40,0.1,35.0,100.0,5,0.0014,1496,1177.4162,0.787,0,0.0,1501,1.33,1.06,17661.3983,38776.4984,2000,2000,961.29,968.21,1901.85,567.85,1975,25,0,1322,861,0,1139,0,43,42.7473,0,1182.0476,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d40_w0.1_spd35.0
2026-04-04 21:40:45,40,0.25,35.0,100.0,14,0.0054,1327,1718.7406,1.2952,0,0.0,1341,1.49,1.1,25781.7133,35823.0366,2000,2000,787.66,785.36,1606.54,448.12,1929,71,0,1104,1107,0,893,0,38,38.7431,0,1722.9408,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d40_w0.25_spd35.0
2026-04-04 21:46:23,40,0.25,35.0,100.0,30,1.0097,1195,2055.7639,1.7203,5,0.0009,1230,1.63,1.06,30948.6328,33277.6457,2000,2000,787.05,780.15,1610.48,456.1,1804,159,37,993,1206,0,794,0,37,37.6534,0,2061.2287,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d40_w0.25_spd35.0
2026-04-04 21:52:45,30,1.0,35.0,100.0,67,0.5105,457,2438.2305,5.3353,62,0.0089,586,3.41,1.08,36631.1101,19914.2178,2000,2000,610.97,610.71,1234.35,325.92,959,384,657,316,1817,0,183,0,25,30.8504,0,2442.52,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d30_w1_spd35.0
2026-04-04 21:54:32,40,0.25,35.0,100.0,40,0.4829,1066,2544.6087,2.3871,12,0.0018,1118,1.79,1.12,38222.9334,31111.5046,2000,2000,763.35,764.24,1541.49,436.01,1682,220,98,875,1322,0,678,0,31,35.8595,0,2549.3223,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d40_w0.25_spd35.0
2026-04-04 21:55:08,40,0.5,35.0,100.0,49,1.4321,949,2579.8225,2.7185,4,0.3705,1002,2.0,1.12,38897.4285,29343.2769,2000,2000,612.17,602.7,1309.44,344.99,1690,277,33,703,1527,0,473,0,29,33.3535,0,2585.6647,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d40_w0.5_spd35.0
2026-04-04 21:56:18,40,0.5,35.0,100.0,52,0.2646,708,2651.0727,3.7445,46,0.0218,806,2.48,1.13,39797.8729,24459.7112,2000,2000,572.54,569.75,1169.4,310.13,1287,287,426,549,1623,0,377,0,23,28.7874,0,2655.7682,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d40_w0.5_spd35.0
2026-04-04 21:59:20,50,0.1,35.0,100.0,0,0.0,1675,391.2483,0.2336,0,0.0,1675,1.19,0.56,5868.7241,41987.1574,2000,2000,697.12,696.17,1415.5,399.74,2000,0,0,1549,607,0,1393,0,40,35.8198,0,395.1363,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d50_w0.1_spd35.0
2026-04-04 22:02:16,40,0.5,35.0,100.0,44,0.8715,824,3007.7993,3.6502,31,0.4058,899,2.22,1.06,45258.7668,26607.0942,2000,2000,596.62,595.12,1199.6,330.24,1481,251,268,618,1560,0,440,0,27,30.2807,0,3013.7454,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d40_w0.5_spd35.0
2026-04-04 22:08:33,50,0.1,35.0,100.0,5,0.0025,1564,801.7962,0.5127,0,0.0,1569,1.27,1.08,12027.2241,39778.9787,2000,2000,697.27,684.74,1401.92,416.21,1974,26,0,1405,752,0,1248,0,37,34.7824,0,805.6128,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d50_w0.1_spd35.0
2026-04-04 22:14:18,50,0.1,35.0,100.0,5,0.002,1496,1182.9502,0.7907,0,0.0,1501,1.33,1.12,17744.4754,38776.4984,2000,2000,721.46,730.68,1436.52,427.73,1975,25,0,1322,861,0,1139,0,36,34.1656,0,1186.5234,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d50_w0.1_spd35.0
2026-04-04 22:17:40,40,1.0,35.0,100.0,66,0.1883,391,2209.3797,5.6506,75,2.5701,532,3.76,1.09,33446.8788,18152.3804,2000,2000,395.32,390.52,796.83,202.66,774,386,840,276,1810,0,190,0,19,21.9201,0,2215.1979,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d40_w1_spd35.0
2026-04-04 22:22:37,40,1.0,35.0,100.0,71,0.8747,544,3046.0951,5.5994,48,1.9856,663,3.02,1.14,46008.912,22034.8174,2000,2000,414.06,410.56,878.02,213.06,1164,403,433,359,1794,0,206,0,20,25.6678,0,3052.7702,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d40_w1_spd35.0
2026-04-04 22:25:17,50,0.25,35.0,100.0,14,0.7619,1327,1733.4308,1.3063,0,0.0,1341,1.49,1.1,26086.0375,35823.0881,2000,2000,557.45,557.36,1147.68,314.8,1929,71,0,1103,1107,0,893,0,31,31.2522,0,1738.6172,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d50_w0.25_spd35.0
2026-04-04 22:25:58,40,1.0,35.0,100.0,67,0.0478,457,2370.9496,5.1881,62,0.0124,586,3.41,1.06,35570.9263,19914.2178,2000,2000,405.18,407.0,857.3,210.36,959,384,657,316,1817,0,183,0,17,23.6456,0,2374.3228,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d40_w1_spd35.0
